,artist_name,track_name,track_id,popularity
444,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
445,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
446,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
447,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
448,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
449,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
450,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
451,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
452,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
453,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
454,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
455,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
456,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
457,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
458,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
459,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
460,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,94
461,Brenda Lee,Silent Night,0FgRRFGfk9OwwbL1xaepiS,27
462,Brenda Lee,Rockin' Around the Christmas Tree,09OojFvtrM9YRzRjnXqJjA,75
463,Brenda Lee,Silent Night - Rerecorded Version,0tnrdzVFNxP7ihDCYkKFOV,23
464,Brenda Lee,Rockin' Around the Christmas Tree,6DZ0ut4MATfUe4YMsNOPHy,72
465,Brenda Lee,Jingle Bell Rock,0MKnGJzNdEqOscI6xu9R3m,66
466,Brenda Lee,Silent Night,12NdcmM8QnG6dWXW7hZ2XV,15
