song_url,track_name,artist_name,date,position,streams,rank
https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2021-12-10,121,"335,161",121
https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,2021-12-10,122,"333,310",122
https://open.spotify.com/track/0hvN2v6fAcB6xWyW7UaooA,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,2021-12-10,123,"332,732",123
https://open.spotify.com/track/47otoIkhx3fkdivEXL5OB6,Rudolph The Red-Nosed Reindeer,Burl Ives,2021-12-10,124,"330,870",124
https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v,Toxic,BoyWithUke,2021-12-10,125,"329,293",125
https://open.spotify.com/track/3lkYS3iMpWMVpaJ0yJAFrJ,I Saw Mommy Kissing Santa Claus,The Jackson 5,2021-12-10,126,"329,231",126
https://open.spotify.com/track/20on25jryn53hWghthWWW3,Do It To It,"ACRAZE, Cherish",2021-12-10,127,"326,786",127
https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,Doja Cat,2021-12-10,128,"325,772",128
https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ,Miss The Rage (feat. Playboi Carti),Trippie Redd,2021-12-10,129,"325,351",129
https://open.spotify.com/track/25leEEaz1gIpp7o21Fqyjo,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,2021-12-10,130,"321,643",130
https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC,brutal,Olivia Rodrigo,2021-12-10,131,"321,232",131
https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,2021-12-10,132,"318,009",132
https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,Polo G,2021-12-10,133,"314,492",133
https://open.spotify.com/track/2Uiv8YvD3q63FGTUjkYvxT,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,2021-12-10,134,"313,552",134
https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk,"jealousy, jealousy",Olivia Rodrigo,2021-12-10,135,"312,609",135
https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-12-10,136,"311,246",136
https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8,Tell Em,"Cochise, $NOT",2021-12-10,137,"311,176",137
https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH,YKWIM?,Yot Club,2021-12-10,138,"310,593",138
https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5,Enchanted,Taylor Swift,2021-12-10,139,"310,299",139
https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),Juice WRLD,2021-12-10,140,"308,866",140
https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE,Fancy Like,Walker Hayes,2021-12-10,141,"305,945",141
https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,2021-12-10,142,"305,636",142
https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,DÁKITI,"Bad Bunny, Jhay Cortez",2021-12-10,143,"305,270",143
https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,2021-12-10,144,"304,301",144
https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4,Notion,The Rare Occasions,2021-12-10,145,"299,934",145
https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow,Space Song,Beach House,2021-12-10,146,"299,903",146
https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,2021-12-10,147,"299,044",147
https://open.spotify.com/track/7faDzZnZYqTyYThx2sbHVQ,Mistletoe And Holly - Remastered 1999,Frank Sinatra,2021-12-10,148,"298,551",148
https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS,505,Arctic Monkeys,2021-12-10,149,"297,568",149
https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,2021-12-10,150,"297,405",150
https://open.spotify.com/track/7MSYSOobsombc1mbDWFxtD,This Christmas,Donny Hathaway,2021-12-10,151,"297,129",151
https://open.spotify.com/track/3QIoEi8Enr9uHffwInGIsC,Please Come Home for Christmas - 2013 Remaster,Eagles,2021-12-10,152,"296,244",152
https://open.spotify.com/track/3ZBeHiRJUj1vdiU8zzGPgb,WYD Now?,Sadie Jean,2021-12-10,153,"295,995",153
https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,Wishing Well,Juice WRLD,2021-12-10,154,"295,737",154
https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021-12-10,155,"294,020",155
https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,Robbery,Juice WRLD,2021-12-10,156,"292,334",156
https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2021-12-10,157,"289,392",157
https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,2021-12-10,158,"288,393",158
https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL,The Spins,Mac Miller,2021-12-10,159,"288,390",159
https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI,My Universe,"Coldplay, BTS",2021-12-10,160,"288,268",160
https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,2021-12-10,161,"286,441",161
https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),Machine Gun Kelly,2021-12-10,162,"286,283",162
https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",2021-12-10,163,"286,230",163
https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60,Buy Dirt,"Jordan Davis, Luke Bryan",2021-12-10,164,"286,218",164
https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk,No Love (with SZA),Summer Walker,2021-12-10,165,"285,548",165
https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3,Wasted On You,Morgan Wallen,2021-12-10,166,"285,542",166
https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,2021-12-10,167,"283,118",167
https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,2021-12-10,168,"283,070",168
https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),Drake,2021-12-10,169,"281,215",169
https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF,Hurricane,Kanye West,2021-12-10,170,"280,339",170
https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK,Infinity,Jaymes Young,2021-12-10,171,"280,172",171
https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,Joji,2021-12-10,172,"279,042",172
https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,2021-12-10,173,"278,477",173
https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,2021-12-10,174,"275,977",174
https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,2021-12-10,175,"275,753",175
https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv,Looking Out for You,Joy Again,2021-12-10,176,"274,306",176
https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i,Shoota (feat. Lil Uzi Vert),Playboi Carti,2021-12-10,177,"273,407",177
https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,2021-12-10,178,"272,827",178
https://open.spotify.com/track/6Tof6kPUc2a17GKaKz4IXz,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",Thurl Ravenscroft,2021-12-10,179,"271,460",179
https://open.spotify.com/track/6NxOrfF4XvNsSpp7G56KzF,Girls Go Down,A Boogie Wit da Hoodie,2021-12-10,180,"270,673",180
https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN,Can I Get It,Adele,2021-12-10,181,"269,175",181
https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy,My Little Love,Adele,2021-12-10,182,"268,907",182
https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,2021-12-10,183,"267,090",183
https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),24kGoldn,2021-12-10,184,"266,329",184
https://open.spotify.com/track/15coTBAzEN1bOeipoNDZAR,"Merry Christmas, Happy Holidays",*NSYNC,2021-12-10,185,"266,146",185
https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4,Money Trees,"Kendrick Lamar, Jay Rock",2021-12-10,186,"266,132",186
https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa,Pursuit Of Happiness (Nightmare),"Kid Cudi, MGMT, Ratatat",2021-12-10,187,"265,252",187
https://open.spotify.com/track/1ug52CZX2B0VdnFtNKS1gH,Making You Cry,A Boogie Wit da Hoodie,2021-12-10,188,"264,088",188
https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB,LOT OF ME,Lil Tecca,2021-12-10,189,"262,601",189
https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD,It'll Be Okay,Shawn Mendes,2021-12-10,190,"261,730",190
https://open.spotify.com/track/4O7FYAjDATiyylfIIAuRNE,24 Hours (feat. Lil Durk) [Bonus],A Boogie Wit da Hoodie,2021-12-10,191,"259,529",191
https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,Fuck Love (feat. Trippie Redd),XXXTENTACION,2021-12-10,192,"258,937",192
https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-12-10,193,"257,261",193
https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2021-12-10,194,"256,943",194
https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,2021-12-10,195,"256,317",195
https://open.spotify.com/track/3PMX3IVMy3JcVgGgp9LbPt,Notifications,A Boogie Wit da Hoodie,2021-12-10,196,"255,937",196
